ENRLMT_ID,NPI
O20031103000238,1558754978
O20031103000238,1578677365
O20031103000238,1659384394
O20031103000238,1679161483
O20031103000238,1730850322
O20031103000238,1801524392
O20031103000238,1841306594
O20031103000238,1942313994
O20031103000238,1942314729
O20031103000238,1982292843
O20031103000238,1982615191
O20031103000245,1124326327
O20031103000245,1659745354
O20031103000245,1760780969
O20031103000267,1033411822
O20031103000267,1053492066
O20031103000267,1053548693
O20031103000267,1073699948
O20031103000267,1073770681
O20031103000267,1083289946
O20031103000267,1114008133
O20031103000267,1114217379
O20031103000267,1124106265
O20031103000267,1144272089
O20031103000267,1164500351
O20031103000267,1184176059
O20031103000267,1194809491
O20031103000267,1215238340
O20031103000267,1235421918
O20031103000267,1255413274
O20031103000267,1265648000
O20031103000267,1275611311
O20031103000267,1275886749
O20031103000267,1285369744
O20031103000267,1316127616
O20031103000267,1326120346
O20031103000267,1326710476
O20031103000267,1396827093
O20031103000267,1417036542
O20031103000267,1558446427
O20031103000267,1568765550
O20031103000267,1568821122
O20031103000267,1598950594
O20031103000267,1609950070
O20031103000267,1619054616
O20031103000267,1619079597
O20031103000267,1639452659
O20031103000267,1649369687
O20031103000267,1659452878
O20031103000267,1669595294
O20031103000267,1679757751
O20031103000267,1689750531
O20031103000267,1689976474
O20031103000267,1720177371
O20031103000267,1750467643
O20031103000267,1770252884
O20031103000267,1780760629
O20031103000267,1831544741
O20031103000267,1851478952
O20031103000267,1881779981
O20031103000267,1891882056
O20031103000267,1922186097
O20031103000267,1932282852
O20031103000267,1932287083
O20031103000267,1942084199
O20031103000267,1992950133
O20031103000274,1215194717
O20031103000274,1669797734
O20031103000274,1811154354
O20031103000285,1114343860
O20031103000285,1427235068
O20031103000285,1538568928
O20031103000285,1881018208
O20031103000307,1447635156
O20031103000307,1578748364
O20031103000307,1689717209
O20031103000326,1003871062
O20031103000326,1053684647
O20031103000326,1225093776
O20031103000326,1235194291
O20031103000326,1265497226
O20031103000326,1538123963
O20031103000326,1548223787
O20031103000326,1619932670
O20031103000326,1629033683
O20031103000326,1730144791
O20031103000326,1871554626
O20031103000326,1912962978
O20031103000326,1922061167
O20031103000326,1922063213
O20031103000338,1124038716
O20031103000338,1174836506
O20031103000338,1437317344
O20031103000381,1922127158
O20031103000414,1245618503
O20031103000414,1306175922
O20031103000414,1477975688
O20031103000414,1518910553
O20031103000414,1629468830
O20031103000414,1760805303
O20031103000414,1780031617
O20031103000414,1821341488
O20031103000414,1922656404
O20031103000435,1750584777
O20031103000440,1578528600
O20031103000440,1811407729
O20031103000443,1023523990
O20031103000443,1053700641
O20031103000443,1093105470
O20031103000443,1093410573
O20031103000443,1104945831
O20031103000443,1184014565
O20031103000443,1205187804
O20031103000443,1215574199
O20031103000443,1215819297
O20031103000443,1225307317
O20031103000443,1225428600
O20031103000443,1265789721
O20031103000443,1265806020
O20031103000443,1275974461
O20031103000443,1285516260
O20031103000443,1306225941
O20031103000443,1306319595
O20031103000443,1316229289
O20031103000443,1316363542
O20031103000443,1326885245
O20031103000443,1336553767
O20031103000443,1356755789
O20031103000443,1356949291
O20031103000443,1396332813
O20031103000443,1396387569
O20031103000443,1407272636
O20031103000443,1417294455
O20031103000443,1417462375
O20031103000443,1417555061
O20031103000443,1417594391
O20031103000443,1457741837
O20031103000443,1467299388
O20031103000443,1487328092
O20031103000443,1497392377
O20031103000443,1508237629
O20031103000443,1538618590
O20031103000443,1538650825
O20031103000443,1538731278
O20031103000443,1588079883
O20031103000443,1588225353
O20031103000443,1588366892
O20031103000443,1598002537
O20031103000443,1649696873
O20031103000443,1679978274
O20031103000443,1689024259
O20031103000443,1710220439
O20031103000443,1720752355
O20031103000443,1760723910
O20031103000443,1760861306
O20031103000443,1760887368
O20031103000443,1760896104
O20031103000443,1770997033
O20031103000443,1811345960
O20031103000443,1811662380
O20031103000443,1821487414
O20031103000443,1821610239
